n,mm16,mm32,mv16,bw16,bw32
128,0.05905749659460348,0.06267999778295487,0.0006013131071196211,0.6036711977357766,1.5065672727940396
200,0.22724996036387746,0.23579239262280194,0.0015003431545298547,1.504103413062511,3.2401397880125233
400,2.03805610494358,1.991861664976057,0.005969382948622321,5.976854016142499,12.167907914158226
512,3.2726672558702647,2.973143016778535,0.007794658465564697,7.802277877554496,15.841234584273067
1012,17.619115940418187,7.230413866759451,0.03500837473677258,35.025679914596,102.45178614605264
2048,57.30001949356596,13.17216331075542,0.16113159344890382,161.17094182337243,314.7059590769362
4096,89.77147565539784,13.051256354318898,0.32795367125296204,327.99370954758456,467.04515074750424
8192,103.45519400646128,14.73417226805606,0.6040474497117537,604.0843200926188,765.5683949505215
10240,98.05200779740723,14.681998421411551,0.5173705734878774,517.3958369564788,796.8152206954169
16384,99.45983903474936,14.203359721669035,0.8238550788454587,823.8802216744893,973.562149757097
